restaurant_id,name,address,online_order,book_table,rate_numeric,votes,location,rest_type,cuisines,approx_cost_for_two,listed_in(type),listed_in(city)
1,#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",No,No,3.4,7,Bellandur,Quick Bites,Fast Food,200.0,Delivery,Bellandur
2,#L-81 Cafe,"Sector 6, HSR Layout, HSR",Yes,No,3.9000000000000004,48,HSR,Quick Bites,"Fast Food, Beverages",400.0,"Delivery, Dine-out",BTM
3,#Vibes Restro,"Marasur Gate, Chandapura - Anekal Road, Near Aliance Collage, Electronic City, Bangalore",No,No,,0,Electronic City,Casual Dining,"Continental, Chinese, Italian",700.0,"Buffet, Delivery, Dine-out",Electronic City
4,#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",Yes,No,3.7000000000000006,37,Bannerghatta Road,Cafe,"Cafe, Beverages",400.0,"Cafes, Delivery, Dine-out",Bannerghatta Road
5,'Brahmins' Thatte Idli,"19, 1st main, 2nd cross, 3rd stage, 3rd block, Basaveshwara Nagar, Bangalore",Yes,No,,0,Basaveshwara Nagar,Quick Bites,South Indian,100.0,Dine-out,Rajajinagar
6,1 Fahreheit,"Nishika Arcade, Nanjappa Main Road, Next to Jodidhars Club, Vidyaranyapura, Bengalore",No,No,,0,New BEL Road,Dessert Parlor,"Desserts, Ice Cream",200.0,Desserts,New BEL Road
7,1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",Yes,No,3.2000000000000006,49,Koramangala 5th Block,Quick Bites,"Arabian, Sandwich, Rolls, Burger",300.0,Delivery,BTM
8,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",No,No,3.7000000000000006,41,BTM,Casual Dining,"Biryani, North Indian",450.0,Dine-out,BTM
9,11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",Yes,No,3.5,22,Electronic City,Quick Bites,"Biryani, Kebab",300.0,"Delivery, Dine-out",Electronic City
10,1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",No,Yes,4.5,2861,Indiranagar,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",1500.0,"Dine-out, Drinks & nightlife, Pubs and bars",Indiranagar
11,12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",No,Yes,4.1,357,Koramangala 3rd Block,Fine Dining,"European, Asian",2000.0,"Buffet, Dine-out",BTM
12,1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",Yes,No,4.1,149,JP Nagar,Casual Dining,"Pizza, Salad",800.0,"Delivery, Dine-out",Basavanagudi
13,1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",Yes,No,4.2,1734,Malleshwaram,Pub,"Chinese, Continental, North Indian",1400.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars",Malleshwaram
14,1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore",No,No,4.3,969,New BEL Road,Pub,"Chinese, Continental, North Indian",1400.0,"Dine-out, Drinks & nightlife, Pubs and bars",New BEL Road
15,1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",No,Yes,4.2,1746,Koramangala 4th Block,Pub,"Chinese, Continental, North Indian",1400.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars",Koramangala 4th Block
16,154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",Yes,Yes,4.0,1519,Koramangala 3rd Block,Cafe,"Cafe, Continental",900.0,"Cafes, Delivery, Dine-out",BTM
17,1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",Yes,Yes,4.1,226,Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Fast Food, Biryani",600.0,"Delivery, Dine-out",BTM
18,18+ Ice Cafe,"408, 2nd Floor, 2nd Block, Opposite Kotak Mahindra Bank, HRBR Layout, Kammanahalli, Bangalore",No,No,3.5,25,Kammanahalli,Cafe,"Cafe, Fast Food, Chinese, Beverages",550.0,"Cafes, Delivery, Dine-out",Kalyan Nagar
19,1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,"Delivery, Dine-out",Banashankari
20,1947,"5, 4th Floor, Above GIRIAS, 15th Cross, Malleshwaram, Bangalore",No,Yes,4.0,1070,Malleshwaram,Casual Dining,"North Indian, Chinese",950.0,"Buffet, Delivery, Dine-out",Malleshwaram
21,1947,"5, Ground Floor, Number 2, First Main, Industrial Town, West of Chord Road, Rajajinagar, Bangalore",No,Yes,3.9,621,Rajajinagar,Casual Dining,"North Indian, Chinese, Continental",1000.0,"Buffet, Delivery, Dine-out",Rajajinagar
22,1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",No,Yes,4.1,2359,Jayanagar,Casual Dining,"North Indian, Chinese",950.0,"Buffet, Delivery, Dine-out",Basavanagudi
23,1980s Games Cafe,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",Yes,No,3.4,58,Basavanagudi,Cafe,"Cafe, Fast Food",400.0,"Cafes, Delivery, Dine-out",Banashankari
24,1992 Chats - Space,"484, 11th Cross, 6th Main, Nagpura Main Road, Mahalakshmi Puram, Rajajinagar, Bangalore",Yes,No,3.7000000000000006,33,Rajajinagar,Quick Bites,Street Food,200.0,"Delivery, Dine-out",Malleshwaram
25,1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",No,Yes,4.3,612,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,"Dine-out, Drinks & nightlife, Pubs and bars",Brigade Road
26,1TO3 Kitchen,"Kadubeesanahalli, Opposite JP Morgan, Marathahalli, Bangalore",No,No,3.1,11,Marathahalli,Delivery,"North Indian, Chinese, Continental, Italian, South Indian",800.0,Delivery,Marathahalli
27,2 Statez,"7th Main Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",Yes,No,3.7,214,Kalyan Nagar,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese",600.0,"Delivery, Dine-out",Kalyan Nagar
28,20 Char - Sterlings MAC Hotel,"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",Yes,Yes,4.0,427,Old Airport Road,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian",1400.0,"Buffet, Delivery, Dine-out, Pubs and bars",Indiranagar
29,20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",Yes,Yes,4.0,941,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars",Brigade Road
30,21 C - La Marvella Sarovar Premiere Hotel,"La Marvella Hotel, 1, 14th Cross, South End Circle, 2nd Block, Jayanagar, Bangalore",No,No,3.6,15,Jayanagar,Casual Dining,Continental,1000.0,Dine-out,Basavanagudi
31,21 Corner Haus Cafe,"10, Central Street, AT.Halli, Shanti Nagar, Bangalore",No,No,,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0,"Delivery, Dine-out",Brigade Road
32,22S,"Arshi Recipes Private Limited, 173/2 Anjappa Layout, B Narayanapura, Mahadevapura, Marathahalli, Bangalore",Yes,No,,0,Marathahalli,Delivery,"North Indian, Mughlai, Biryani",500.0,Delivery,Marathahalli
33,24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",No,No,3.1,46,Cunningham Road,Casual Dining,"Asian, Continental",1000.0,"Buffet, Dine-out",Brigade Road
34,24 Hours Cake Delivery,"35/2, Service Road, Phase 2, Electronic City, Bangalore",No,No,,0,Electronic City,Delivery,Bakery,700.0,"Delivery, Desserts",Electronic City
35,24 Hours Cake Delivery,"Shop 1, ATR Complex, Old Airport Road, Bangalore",No,No,3.3,4,Old Airport Road,Delivery,Bakery,700.0,"Delivery, Desserts",Indiranagar
36,24 Hours Coffee Drop - La Classic,"158, Hotel La Classic, Yedavanahalli, Attibele, Near Electronic City, Electronic City, Bangalore",No,No,3.4,9,Electronic City,Cafe,Cafe,800.0,"Cafes, Dine-out",Electronic City
37,24/7 - The Lalit Ashok Bangalore,"The Lalit Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",No,Yes,4.0,344,Seshadripuram,Fine Dining,"Continental, North Indian, Italian, Chinese",3000.0,"Buffet, Dine-out",Malleshwaram
38,24/7 Food Service,"21/22, Saifee Apartment, 5th Cross, 22nd Main Road, Near Rizwan Mazjid, Vinayaka Nagar, 5th Phase, JP Nagar, Bangalore",Yes,No,2.95,7,JP Nagar,"Takeaway, Delivery","South Indian, North Indian, Fast Food",300.0,Delivery,Bannerghatta Road
39,24@43 - The Oterra,"The Oterra, 43, Phase 1, Electronic City, Bangalore",No,Yes,4.1,268,Electronic City,Fine Dining,"North Indian, Asian, Continental",3000.0,"Buffet, Dine-out",Electronic City
40,24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",No,Yes,4.1,1240,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",800.0,"Buffet, Dine-out",Bannerghatta Road
41,29 Degrees North,"62 Ramamurthy Nagar Main Road, Banaswadi (Next to Indian Bank) Bangalore",Yes,No,3.9,287,Banaswadi,Quick Bites,"North Indian, Fast Food, Street Food",250.0,"Delivery, Dine-out",Kalyan Nagar
42,2nd Home Restaurant,"16/1, 33rd Main Road, 1st Stage, BTM, Bangalore",Yes,No,3.7,21,BTM,Quick Bites,"South Indian, North Indian, Chinese",500.0,"Delivery, Dine-out",BTM
43,3 Leafs,"158, Vignana Nagara Main Road, Kaggadasapura, Bangalore",Yes,No,3.7000000000000006,128,Kaggadasapura,Casual Dining,"North Indian, South Indian, Chinese",600.0,"Delivery, Dine-out",Marathahalli
44,3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",Yes,No,3.9,157,Wilson Garden,Casual Dining,"North Indian, Chinese",450.0,"Delivery, Dine-out",Basavanagudi
45,30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",Yes,No,4.2,559,Koramangala 5th Block,Quick Bites,"Tibetan, Nepalese, Momos",400.0,"Delivery, Dine-out",BTM
46,360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,"Cafes, Delivery, Dine-out",Banashankari
47,36th Cross Coffee Mane,"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",No,No,3.65,29,Jayanagar,Quick Bites,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200.0,"Cafes, Dine-out",Basavanagudi
48,37 China Town,"Hotel 37th Crescent, 37, Crescent Road, High Grounds, Race Course Road, Bangalore",No,No,3.5,58,Race Course Road,Casual Dining,"Chinese, Thai, North Indian, South Indian, Continental",900.0,"Delivery, Dine-out",Lavelle Road
49,38 Sugar Lane,"103,7th Main,Near Reliable Acacia,Off Sarjapur Road, Bellandur, Bangalore",No,No,,0,Bellandur,"Takeaway, Delivery","Bakery, Desserts",850.0,"Delivery, Desserts",Bellandur
50,"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",No,Yes,4.4,1181,BTM,"Casual Dining, Bar","North Indian, Mediterranean, European, BBQ",1100.0,"Buffet, Dine-out, Drinks & nightlife, Pubs and bars",BTM
51,"3B's - Buddies, Bar & Barbecues","Rooftop, 90/4, Above AB's, Near Park Plaza Hotel, Outer Ring Road, Marathahalli, Bangalore",No,Yes,4.5,1914,Marathahalli,"Casual Dining, Bar","North Indian, Mediterranean, European, BBQ",1100.0,"Buffet, Dine-out, Drinks & nightlife",Marathahalli
52,3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",Yes,Yes,4.1,664,Malleshwaram,"Bar, Casual Dining","Finger Food, Continental, Chinese",1100.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars",Malleshwaram
53,3ice Cubes,"739, opp Gaurav Nagar Bus Stop RBI Colony, 7th Phase, JP Nagar, Bangalore",No,No,,0,JP Nagar,Beverage Shop,"Juices, Sandwich, Street Food",150.0,Delivery,Bannerghatta Road
54,3rd Innings,"2/7, Opposite BMW Navnit Motors, Beratana Agrahara Village, Hosur Main Road, Electronic City, Bangalore",No,No,3.0,17,Electronic City,"Casual Dining, Bar","Burger, Italian, North Indian, Chinese",1000.0,"Dine-out, Drinks & nightlife, Pubs and bars",Electronic City
55,4 Mangoes,"34, SVB Complex, Opposite Top In Town, Old Airport Road, Bangalore",No,No,3.7,16,Old Airport Road,Kiosk,Ice Cream,200.0,Desserts,Indiranagar
56,4 Seasons Restaurant,"1st Floor, Lamcy Plaza, Opposite Tanishq Showrrom, HRBR, 2nd Block, Kalyan Nagar, Bangalore",Yes,Yes,3.7,399,Kalyan Nagar,Casual Dining,"North Indian, Seafood, Middle Eastern, Chinese",1000.0,"Buffet, Delivery, Dine-out",Kalyan Nagar
57,4 States,"The Bay, Campus 8A, RMZ Ecoworld, Bellandur, Bangalore",No,No,3.2,4,Bellandur,Food Court,South Indian,400.0,Dine-out,Bellandur
58,4-States,"RMZ Ecoworld Road, Adarsh Palm Retreat, Bellandur, Bangalore",No,No,,0,Bellandur,Food Court,South Indian,250.0,Dine-out,Bellandur
59,46 Ounces Brewgarden,"43, Phase 1, Electronic City, Bangalore",No,Yes,,0,Electronic City,Microbrewery,"Bar Food, Finger Food, Pizza",1600.0,"Dine-out, Drinks & nightlife",Electronic City
60,4671 Indian Coastal Cuisine,"5th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",No,No,,0,Bannerghatta Road,Food Court,"Seafood, Mangalorean, Kerala",600.0,"Delivery, Dine-out",Bannerghatta Road
61,4700BC Popcorn,"Second Floor, Phoenix Market City, Whitefield, Bangalore",No,No,4.1,55,Whitefield,"Takeaway, Delivery",Fast Food,500.0,Delivery,Whitefield
62,4Foodiez,"11, Smondoville Neotown Road, Phase-1, Electronic City, Bangalore",Yes,No,3.6500000000000004,82,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",300.0,"Delivery, Dine-out",Electronic City
63,4Foodiez - The Restaurant,"7, Smondo Ville 03, Neotown, Electronic City Phase 1, Electronic City, Bangalore",No,No,3.0,23,Electronic City,Quick Bites,"Street Food, Chinese, North Indian, South Indian",400.0,"Delivery, Dine-out",Electronic City
64,4K Biryani,"37, Somasundarapalya Main Road, ITI Layout, Hosapalaya, Muneshwara Nagar, HSR, Bangalore",Yes,No,3.3,4,HSR,Delivery,"North Indian, Chinese",700.0,Delivery,HSR
65,4S Bar,"107/2, 80 Feet Road, Koramangala 4th Block, Bangalore",No,No,,0,Koramangala 4th Block,Casual Dining,"North Indian, Chinese",800.0,Dine-out,Koramangala 4th Block
66,4th Tea Block,"524, 10th Main, 4th Block, Jayanagar, Bangalore",No,No,4.0,62,Jayanagar,Cafe,Cafe,150.0,"Cafes, Delivery",Basavanagudi
67,5 Degree Centigrade,"Food Court, Forum Mall, Koramangala 7th Block, Bangalore",No,No,,0,Koramangala 7th Block,Food Court,"Beverages, Ice Cream",150.0,Desserts,BTM
68,5 Star Food,"15th Cross, Guru Vibhav Nilayam, Oil Mill Road, Lingarajapuram, Kammanahalli, Bangalore",Yes,No,,0,Kammanahalli,Quick Bites,"South Indian, Fast Food",300.0,"Delivery, Dine-out",Frazer Town
69,5 star food,"15th cross Guru Vbav Nilayam Oil Mill Road lingarajpuram Kammanahalli, Bangalore",Yes,No,,0,Kammanahalli,Quick Bites,"South Indian, Fast Food",300.0,Delivery,Kalyan Nagar
70,50-50 EATING HOUSE,"23/1, 7th Cross, N R Colony, Basavanagudi, Bangalore",No,No,3.2,4,Basavanagudi,Quick Bites,"South Indian, Biryani",100.0,Dine-out,Banashankari
71,52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",No,No,3.9,740,Koramangala 6th Block,"Bar, Casual Dining","American, Continental, Finger Food",1400.0,"Dine-out, Drinks & nightlife, Pubs and bars",BTM
72,55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",No,Yes,3.9000000000000004,1791,JP Nagar,Bar,"Finger Food, North Indian, Chinese",1300.0,"Dine-out, Drinks & nightlife, Pubs and bars",Bannerghatta Road
73,56 Bhoga Sweets,"49, Agara Circle, Near Hanuman Statue, HSR Layout, Bangalore, HSR, Bangalore",No,No,3.6,51,HSR,"Takeaway, Delivery","Mithai, Street Food",150.0,"Delivery, Desserts",HSR
74,5th Main Cafe,"355, 14th B Cross, 5th Main, 6th Sector, HSR, Bangalore",No,No,3.5,15,HSR,Cafe,"Cafe, Fast Food",250.0,"Cafes, Dine-out",BTM
75,7 Days Restaurant,"103,77, Srinivas Building, Near Infosys Gate No 6, Konappana Agarahara, Electronic City, Bangalore",Yes,No,3.8,478,Electronic City,Quick Bites,"North Indian, Chinese, Arabian",400.0,"Delivery, Dine-out",Electronic City
76,7 Degrees North,"36/3 Opposite Silver High Apartment Somsunder Pallya Circle, HSR, Bangalore",No,No,3.5,11,HSR,Casual Dining,North Indian,500.0,"Delivery, Dine-out",HSR
77,7 Hills Andhra Mess,"Behind Bagmane Tech Park, Kishnappa Garden, Near HP Office, CV Raman Nagar, Bangalore",No,No,3.4,8,CV Raman Nagar,Mess,Andhra,300.0,Dine-out,Indiranagar
78,7 Hills Garden Restaurant,"1296 1st Block, 6th Stage, South Circle Banashankari, Bangalore",Yes,No,,0,Banashankari,Quick Bites,"North Indian, Mughlai, Chinese",400.0,"Delivery, Dine-out",Banashankari
79,7 Hills Restaurant,"80 Feet Road, Bharath Housing Society Layout, Subramanyapura, 6th Stage, Banashankari",No,No,,0,Banashankari,Casual Dining,"North Indian, South Indian",500.0,Dine-out,Banashankari
80,7 Plates,"12, Rahmathnagar Bus Stop, RT Nagar, Bangalore",Yes,No,3.9,210,RT Nagar,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",600.0,Delivery,Malleshwaram
81,7 Plates,"126, 1st A Cross Road, Koramangala 5th Block, Bangalore",Yes,No,3.7,259,Koramangala 5th Block,Casual Dining,"Mughlai, Fast Food",750.0,"Delivery, Dine-out",BTM
82,7 Plates,"420, 5th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Yes,No,3.575,531,Kalyan Nagar,Casual Dining,"North Indian, Mughlai, Rolls, Fast Food",600.0,"Delivery, Dine-out",Kalyan Nagar
83,7 Plates,"5/5, Benson Cross Road, Near Family Super Market, Benson Town, Frazer Town, Bangalore",Yes,No,3.9,171,Frazer Town,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",600.0,"Delivery, Dine-out",Brigade Road
84,7 Shanghai,"7, Krishna Gowda Building, Opposite Wipro Gate 12, Electronic City Phase 1, Bangalore",Yes,No,3.5,19,Electronic City,Quick Bites,Chinese,250.0,"Delivery, Dine-out",Electronic City
85,7 Spice,"Number 122, Opposite Seethapama, Kalyana Mantapa, Banaswadi, Bangalore",No,No,3.4,5,Banaswadi,Quick Bites,"Biryani, Chinese",250.0,"Delivery, Dine-out",Kalyan Nagar
86,7 to 11 Food Court,"45, 5th Cross, Jai Jawan Nagar, Banaswadi, Bangalore",Yes,No,3.7,18,Banaswadi,Quick Bites,"Fast Food, Burger, North Indian, South Indian",200.0,"Delivery, Dine-out",Frazer Town
87,70 Brigade - Iris Hotel,"Iris Hotel, Next to Eva Mall, 70, Brigade Road, Bangalore",No,Yes,3.9,106,Brigade Road,Casual Dining,"Chinese, North Indian, Pizza",1000.0,"Buffet, Dine-out",Brigade Road
88,7Biryanis,"MS Ramaiah North City, Manayata Tech Park, Nagavara Bengaluru, Nagawara, Bangalore",Yes,No,3.2,4,Nagawara,Casual Dining,"Andhra, Biryani",600.0,Delivery,Kalyan Nagar
89,7th Heaven,"27,Ground Floor, Nanjappa Garden, Horamavu Agara Main Road, Babusapalaya, Near Kalyan Nagar, Bangalore",No,No,,0,Kalyan Nagar,"Bakery, Dessert Parlor","Bakery, Ice Cream",400.0,"Delivery, Desserts",Kalyan Nagar
90,7th Heaven,"4/3, Sree Complex, 12th Main, MSRE College Road, Mathikere, New BEL Road, Bangalore",No,No,3.6,17,New BEL Road,Bakery,"Bakery, Desserts",300.0,"Delivery, Desserts",New BEL Road
91,8 Slice,"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",Yes,No,3.7,74,Koramangala 6th Block,Delivery,Pizza,600.0,Delivery,Brigade Road
92,9 Bowls,"11, 1st Main, 1st Cross, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Yes,No,,0,Koramangala 1st Block,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500.0,"Delivery, Dine-out",HSR
93,9 Bowls,"1st Floor, Pattandur Agrahara Road, Opposite Foyer Infinity, Beside Gold Ganesha Temple, ITPL Main Road, Whitefield, Bangalore",Yes,No,,0,"ITPL Main Road, Whitefield",Delivery,"Healthy Food, Continental, North Indian, Chinese",500.0,Delivery,Whitefield
94,9 Bowls,"Bhuvanagiri Main Road, OMBR Layout, Kasturi Nagar, Banaswadi, Bangalore",Yes,No,,0,Banaswadi,Delivery,"Healthy Food, Continental, North Indian, Chinese",500.0,Delivery,Frazer Town
95,9 Bowls,"Near Madurai Idly, SGR Dental College Road, CKB Layout, Chandra Layout, Marathahalli, Bengalore",Yes,No,,0,Marathahalli,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500.0,"Delivery, Dine-out",Bellandur
96,9 Tea,"Kodichikkanahalli Main Road, Bannerghatta Road, Bangalore",No,No,,0,Bannerghatta Road,"Takeaway, Delivery","South Indian, Street Food, Tea",200.0,Delivery,Bannerghatta Road
97,90's,"E339, 25th Main Road, Sector 2, Parangi Palaya, HSR, Bangalore",No,No,,0,HSR,Quick Bites,North Indian,200.0,"Delivery, Dine-out",HSR
98,90's Beer Cafe - Hotel Millennium Plaza,"396/48, Huskur Gate, Opposite Vimalalaya Hospital, Near Biocon Factory, Electronic City, Bengaluru",No,No,3.0,7,Electronic City,Bar,Finger Food,1000.0,"Dine-out, Drinks & nightlife, Pubs and bars",Electronic City
99,90's Cafe,"120, 9th Cross Road, Jeewan Sathi Colony, 1st Phase, JP Nagar, Bengaluru",No,No,,0,JP Nagar,Quick Bites,"Fast Food, Burger",500.0,"Desserts, Dine-out",Jayanagar
100,99 Caffe,"10, Opposite Bhawana PG, Kundanahalli Gate, Brookefield, Bangalore",Yes,No,3.6,106,Brookefield,Quick Bites,"South Indian, North Indian, Chinese",250.0,"Delivery, Dine-out",Brookefield
101,99 Eat Out,"Bloom boutique , 1215, 100 Feet Road, Indiranagar, Bangalore",No,No,,0,Indiranagar,Delivery,"North Indian, Continental, Chinese",200.0,Delivery,Indiranagar
102,99 Pancakes,"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",Yes,No,4.1,48,Church Street,Dessert Parlor,"Desserts, Ice Cream",150.0,"Delivery, Desserts, Dine-out",Brigade Road
103,99 Pancakes,"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",Yes,No,4.5,360,Koramangala 5th Block,"Dessert Parlor, Cafe","Desserts, Cafe",500.0,"Cafes, Delivery, Desserts",BTM
104,99 Udupi Veg,"NS Complex, ITPL Main Road, Opposite To Bhawana PG, Marathahalli, Bangalore",No,No,,0,Marathahalli,Quick Bites,"South Indian, North Indian",300.0,"Delivery, Dine-out",Brookefield
105,99 Variety Dosa & Pav Bhaji,"6th Block, Sony World Signal, Koramangala 6th Block, Bangalore",Yes,No,3.7999999999999994,16,Koramangala 6th Block,Quick Bites,"South Indian, North Indian, Street Food",250.0,Delivery,Koramangala 5th Block
106,99 Variety Dosa and Pav Bhaji,"17G, 18th Cross, 3rd Sector, HSR, Bangalore",Yes,No,4.0,101,HSR,Quick Bites,"South Indian, North Indian, Street Food",250.0,"Delivery, Dine-out",BTM
107,99 Variety Dose-Biryanis-Starters,"2nd Main, Muneshwara Layout, Vinayaka Nagar, Kudlu Gate, HSR, Bangalore",Yes,No,,0,HSR,"Takeaway, Delivery","South Indian, North Indian, Fast Food, Chinese",300.0,Delivery,HSR
108,99Foods,"Beside Arena Mall, Outer Ring Road, Opposite BCBP Tech Park, Doddanekundi, Bangalore",No,No,3.4,32,Marathahalli,Quick Bites,"Biryani, North Indian, Chinese, Kebab",400.0,Dine-out,Marathahalli
109,9D Foods,"8, Ground Floor, KRTI Building, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",Yes,No,4.066666666666666,461,Marathahalli,Quick Bites,"North Indian, Street Food",400.0,"Delivery, Dine-out",Brookefield
110,9th Cross Cafe,"L 66, 7th Main Road, LIC Colony, HAL 3rd Stage, Sector 11, Jeevan Bhima Nagar, Bangalore",No,No,3.6,12,Jeevan Bhima Nagar,Cafe,"Cafe, Italian, French",550.0,"Cafes, Dine-out",Indiranagar
111,@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",Yes,No,2.7000000000000006,135,Marathahalli,Casual Dining,"Biryani, Mughlai, Chinese, North Indian",550.0,"Delivery, Dine-out",Brookefield
112,@ The Bbq,"548/1, Syed Plaza, Outer Ring Road, Bellandur, Bangalore",Yes,No,3.8,32,Bellandur,Casual Dining,"BBQ, Continental, North Indian, Chinese, Beverages",700.0,"Delivery, Dine-out",Bellandur
113,@99,"90/2, Sobha Rani Compound, Shetty Layout, Mahadevpura, Whitefield, Bangalore",No,No,3.4,37,Whitefield,"Takeaway, Delivery","Mughlai, Biryani, Chinese, North Indian",200.0,Delivery,Whitefield
114,@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",No,No,3.5,40,HSR,Quick Bites,"Italian, Pizza",700.0,"Delivery, Dine-out",HSR
115,@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Yes,No,4.1,306,Kumaraswamy Layout,Casual Dining,Italian,700.0,Delivery,Banashankari
116,@North Parontha Hut,"Shop 10, Sst Complex Pattandur Agarhara Road Old Airport Road, Bangalore",No,No,,0,Old Airport Road,"Takeaway, Delivery",North Indian,300.0,Delivery,Indiranagar
117,A 1 Pizza and Food,"370, Wind Tunnel Road, Murgeshpalya, Old Airport Road, Bangalore",Yes,No,2.8,215,Old Airport Road,Delivery,"Pizza, Chinese, North Indian",300.0,Delivery,Indiranagar
118,A Baker's Confession,"Babusapalya, Kalyan Nagar, Bangalore",No,No,,0,Kalyan Nagar,Bakery,Bakery,400.0,"Delivery, Desserts",Kalyan Nagar
119,A Bar,"462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR, Bangalore",No,No,3.3,19,HSR,Bar,"North Indian, Continental",600.0,"Dine-out, Pubs and bars",BTM
